,constituency,state,Image,status,Vote,Margin,Candidate,Party
1350,VIDISHA(18),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 18 - VIDISHA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABDUL-2024-4761.jpg,lost,1082 , -1115378,ABDUL JABBAR,Independent
1351,VIDISHA(18),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 18 - VIDISHA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SEEMA-2024-20240416021353.jpg,lost,1073 , -1115387,SEEMA SHARMA,Sapaks Party
1352,VIDISHA(18),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 18 - VIDISHA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DHARM-2024-4547.jpg,lost,1026 , -1115434,DHARMENDRA SINGH PANWAR (GOLU BHAIYA),Right to Recall Party
1353,VIDISHA(18),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 18 - VIDISHA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHEEK-2024-5366.jpg,lost,724 , -1115736,BHEEKAM SINGH KUSHWAHA,Mahanwadi Party
1354,VIDISHA(18),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 18 - VIDISHA  (Madhya Pradesh)

            ",img/nota.jpg,,9280 , -1107180,NOTA,None of the Above
1355,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ALOKS-2024-5156.jpg,won,981109 ,+ 501499,ALOK SHARMA,Bharatiya Janata Party
1356,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ADVOC-2024-4766.jpg,lost,479610 , -501499,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress
1357,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHANU-2024-5051.jpg,lost,13305 , -967804,BHANU PRATAP SINGH,Bahujan Samaj Party
1358,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DEEND-2024-5694.jpg,lost,3641 , -977468,DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent
1359,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/JAYSI-2024-4677.jpg,lost,2510 , -978599,JAY SINGH,Independent
1360,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BHART-2024-4814.jpg,lost,1839 , -979270,BHARTI YADAV,Independent
1361,BHOPAL(19),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 19 - BHOPAL  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ANKIT-2024-4552.jpg,lost,1101 , -980008,ANKIT RAI,Independent
